token	corpus size	all contexts size	frequency	co-frequency	specificity
consultas	121105	14678	176	158	121.91
suave	121105	14678	636	300	105.13
suaves	121105	14678	342	186	78.56
Arrancador	121105	14678	66	66	60.54
crédito	121105	14678	167	102	49.96
sistemas	121105	14678	93	63	35.12
metodología	121105	14678	61	49	33.37
Suave	121105	14678	104	60	27.83
regulación	121105	14678	114	63	27.72
consulta	121105	14678	51	39	25.23
aterrizaje	121105	14678	27	27	24.75
ejercicio	121105	14678	43	35	24.38
vacaciones	121105	14678	36	31	23.13
reggae	121105	14678	23	22	18.86
post	121105	14678	41	30	18.62
noche	121105	14678	53	34	18.16
una	121105	14678	1000	216	17.00
arrancador	121105	14678	26	22	16.22
rock	121105	14678	34	25	15.70
Las	121105	14678	136	54	15.59
patria	121105	14678	29	22	14.37
verificaciones	121105	14678	28	21	13.57
relevancia	121105	14678	17	16	13.49
SSM	121105	14678	17	16	13.49
puntaje	121105	14678	55	29	12.49
Diagrama	121105	14678	13	13	11.92
las	121105	14678	1132	218	11.84
sonrisa	121105	14678	29	20	11.84
invasión	121105	14678	12	12	11.00
ABB	121105	14678	12	12	11.00
coparoman	121105	14678	12	12	11.00
ordenadas	121105	14678	12	12	11.00
caricia	121105	14678	12	12	11.00
intentaron	121105	14678	12	12	11.00
clima	121105	14678	14	13	10.83
Mostrando	121105	14678	13	12	9.94
alternativa	121105	14678	13	12	9.94
tan	121105	14678	124	42	9.75
agua	121105	14678	84	33	9.72
aceleración	121105	14678	12	11	9.06
duras	121105	14678	34	19	8.99
utilizan	121105	14678	15	12	8.51
reporte	121105	14678	33	18	8.33
brisa	121105	14678	13	11	8.30
mandatorias	121105	14678	18	13	8.26
dígase	121105	14678	9	9	8.25
curva	121105	14678	11	10	8.18
es	121105	14678	874	162	7.96
afectan	121105	14678	25	15	7.80
Liso	121105	14678	22	14	7.78
para	121105	14678	999	179	7.62
Acerca	121105	14678	29	16	7.56
son	121105	14678	215	55	7.51
Studio	121105	14678	17	12	7.49
visibles	121105	14678	12	10	7.46
Source	121105	14678	10	9	7.31
platos	121105	14678	10	9	7.31
Último	121105	14678	15	11	7.17
Bamboo	121105	14678	15	11	7.17
arranque	121105	14678	13	10	6.88
ofrecen	121105	14678	13	10	6.88
habilidades	121105	14678	32	16	6.79
realizar	121105	14678	22	13	6.72
Blue	121105	14678	16	11	6.72
intimidad	121105	14678	11	9	6.62
empleadores	121105	14678	11	9	6.62
picante	121105	14678	11	9	6.62
minimalismo	121105	14678	9	8	6.43
sincera	121105	14678	9	8	6.43
géneros	121105	14678	23	13	6.42
labios	121105	14678	20	12	6.35
Aunque	121105	14678	35	16	6.12
utilizar	121105	14678	15	10	5.97
ejercicios	121105	14678	15	10	5.97
entradas	121105	14678	45	18	5.78
económico	121105	14678	13	9	5.62
Estudiar	121105	14678	8	7	5.57
cálido	121105	14678	30	14	5.57
su	121105	14678	785	137	5.53
inviernos	121105	14678	6	6	5.50
refrescante	121105	14678	6	6	5.50
arrancadores	121105	14678	6	6	5.50
Clase	121105	14678	6	6	5.50
compresores	121105	14678	6	6	5.50
Starter	121105	14678	6	6	5.50
CADe	121105	14678	6	6	5.50
Electrónico	121105	14678	6	6	5.50
Arranque	121105	14678	6	6	5.50
Motor	121105	14678	6	6	5.50
Trifásico	121105	14678	6	6	5.50
Partidor	121105	14678	6	6	5.50
Reconocimiento	121105	14678	6	6	5.50
Siemens	121105	14678	6	6	5.50
Sirius	121105	14678	6	6	5.50
3RW40	121105	14678	6	6	5.50
Cadesimu	121105	14678	6	6	5.50
ElectroScannerlaserena	121105	14678	6	6	5.50
Khalid	121105	14678	6	6	5.50
Cade	121105	14678	6	6	5.50
investigacion	121105	14678	6	6	5.50
5kw	121105	14678	6	6	5.50
400V	121105	14678	6	6	5.50
analogico	121105	14678	6	6	5.50
Danfoss	121105	14678	6	6	5.50
Mcd	121105	14678	6	6	5.50
202	121105	14678	6	6	5.50
Hp	121105	14678	6	6	5.50
440v	121105	14678	6	6	5.50
175g5217	121105	14678	6	6	5.50
motores	121105	14678	6	6	5.50
Ordenar	121105	14678	6	6	5.50
conspiración	121105	14678	6	6	5.50
Results	121105	14678	6	6	5.50
Showing	121105	14678	6	6	5.50
seconds	121105	14678	6	6	5.50
Como	121105	14678	48	18	5.32
Consulta	121105	14678	11	8	5.28
dura	121105	14678	17	10	5.27
reglas	121105	14678	14	9	5.23
cultura	121105	14678	28	13	5.18
Metodología	121105	14678	9	7	4.97
monitorear	121105	14678	9	7	4.97
crediticia	121105	14678	12	8	4.86
sin	121105	14678	275	57	4.76
Conexión	121105	14678	7	6	4.71
3A	121105	14678	7	6	4.71
Existen	121105	14678	7	6	4.71
Ejercicios	121105	14678	7	6	4.71
relajantes	121105	14678	7	6	4.71
realizan	121105	14678	7	6	4.71
Fitzgerald	121105	14678	27	12	4.60
herramienta	121105	14678	16	9	4.58
fundido	121105	14678	5	5	4.58
trifásicos	121105	14678	5	5	4.58
plans	121105	14678	5	5	4.58
SMC	121105	14678	5	5	4.58
75kw	121105	14678	5	5	4.58
Bs	121105	14678	5	5	4.58
sutilidad	121105	14678	5	5	4.58
bonitos	121105	14678	5	5	4.58
homogénea	121105	14678	5	5	4.58
releer	121105	14678	5	5	4.58
utilizadas	121105	14678	10	7	4.51
fuego	121105	14678	20	10	4.46
100	121105	14678	29	12	4.24
toque	121105	14678	21	10	4.24
mantener	121105	14678	25	11	4.22
marrón	121105	14678	8	6	4.16
barco	121105	14678	8	6	4.16
motor	121105	14678	18	9	4.07
un	121105	14678	1363	207	3.99
financiera	121105	14678	15	8	3.92
Veamos	121105	14678	6	5	3.86
autorregulación	121105	14678	6	5	3.86
Livari	121105	14678	6	5	3.86
Soft	121105	14678	12	7	3.80
Agua	121105	14678	12	7	3.80
ofertas	121105	14678	12	7	3.80
calidez	121105	14678	9	6	3.74
lograr	121105	14678	9	6	3.74
seguros	121105	14678	9	6	3.74
conectar	121105	14678	9	6	3.74
